HIDROREY INDUSTRIAL,,,,,,,,,,,,,,,,,,,
Fecha:,,15/12/2025,,,,Catálogo de Productos,,,,,,,,,,Página:,,1,
Hora:,,14:23:05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Clase,,,Clave,Nombre,Atributo,,Unidad,Grupo,,Subgrupo,Ma. Lo.,D. Vi.,,Tipo de Producto,,,,,Clave SAT
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1223896,"PANEL ASSY, INSTMT, W/ LABEL, AFMKT",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1223980,"PLATE WLDT, HEAD, WEIGHTED",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1223989,"BRUSH ASSY, DISK, SCB, 13.0D, PYP",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1223991,"BRUSH ASSY, DISK, SCB, 13.0D, NYL",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1224132,"WHEEL, DRIVE, 190MMD 50MMW 19MMB",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1224431,"HOSE ASSY, W/2CUFF,1.5D 34.5 1.5/1.5[PU]",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1224712,"PIN, CLEVIS, .38D X 2.25L [4340]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1225233,1000 GRIT,,,PIEZA,TENNANT,,,,,,CONSUMIBLES,,,,47121600,
,1000 GRIT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1225246,"ACTUATOR, 24VDC, 05.5STRK, 0600LB",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1225398,"BRUSH, SWP, 35L, WEDGE, PYP, SPL",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1225549,"BRUSH, DISK, SWP, 20.0D, PYP",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1225563,"SHIM, TRANSMISSION [GRADE 50]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1226032,424-HS,,,PIEZA,TENNANT,,,Lote/Serie/Pedim,,,BARREDORAS,,,,,
,with Head and Brush lift standard for high speed (=safety reason),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1226410,"HOSE ASSY, W/2CUFF, 1.5D 42.5L, PVC",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1226488,"HOSE ASSY, DRAIN, 1.5D X 62.2L [PVC]",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1226633,"HOSE ASSY, DRAIN, 1.5D X 62.2L [PU]",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,T350 manguera Drene,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1226700,"STUD, M8 X 1.25, 2.75L M8 X 1.25, SS",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1226905,Motor de Succion,,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1226976,MOTOR REST,,,PIEZA,,,,,,,MOTORES,,,,47121900,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1227124,"BLADE, SQGE, FRONT, 938L, URETHANE 500MM",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1227125,"BLADE, SQGE, REAR, 1007L, URETHANE 500MM",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1227273,"VR, BRUSH KIT, MOTOR, ELE (4PC)",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,12273,"SCREW, HEX, M8 X 1.25 X 20, NL, SS",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,12274,"SCREW, HEX, M6 X 1.00 X 20, 8.8, NL",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1227552,"FITTING, PLSTC, STR, QM08/PM06",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1227670,"SCREW, FLT, SOC, M4 X 0.70 X 14,18-8, SS",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,12277,"SCREW, HEX, M6 X 1.00 X 20, NL, SS",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1228117,"MOTOR, ELE, 24VDC 150RPM 0.68HP, 17MM",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1228252,"HOSE ASSY, DRAIN, 1.5D 014L 2/1.5CAP PVC",,,PIEZA,TENNANT,,FREGADORAS,,,,CONSUMIBLES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1228697,"VALVE, WATER, SOLENOID, 36VDC QF08/QF08",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1228773,"SPRING, CMPR, 1.402OD, .812ID, 2.0L",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1228885,"TRAY, ACCSSRY, DRAIN, LH [T600/T600E]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1228962,"FRAME WLDT, FRONT",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1229076,"TUBE, ADAPTER, 1.7D [T600]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1229370,"COUPLING, SQGE, 50CM",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1229426,"SPRING, TENSIONER, TRANSMISSION",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,12295,"NUT, HEX, SLTD, M20 X 2.5, 8",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1229911,"PLATE WLDT, COVER, RCVY",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,123 055 188,BOQULLLA SEWER 3/8 NPT 4.0 (1F-3B),,,PIEZA,ACCESORIOS,,BOQUILLAS,Lote/Serie/Pedim,,,SEWER,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,123 065 186,BOQULLLA SEWER 3/8 NPT 12.0 (1F-4B),,,PIEZA,ACCESORIOS,,BOQUILLAS,,,,SEWER,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,123 065 187,BOQULLLA SEWER 3/8 NPT 5.5 (1F-3B),,,PIEZA,ACCESORIOS,,BOQUILLAS,Lote/Serie/Pedim,,,SEWER,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,123 065 188,BOQULLLA SEWER 3/8 NPT 4.0 (1F-3B),,,PIEZA,ACCESORIOS,,BOQUILLAS,,,,SEWER,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,123 065 189,BOQULLLA SEWER 3/8 NPT 8.5 (1F-4B),,,PIEZA,ACCESORIOS,,BOQUILLAS,,,,SEWER,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230075,"CABLE, GLV .13D 15.0L .38EYE /.38EYE",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230116,"BAR, RND, PLSTC, 0.31D 18.4L",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230171,"TRAY, DEBRIS [T600]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230556,100 GRIT CCW,,,PIEZA,TENNANT,,,,,,CONSUMIBLES,,,,47121600,
,100 GRIT CCW,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230557,100 GRIT CW,,,PIEZA,TENNANT,,,,,,CONSUMIBLES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230558,50 GRIT,,,PIEZA,TENNANT,,,,,,CONSUMIBLES,,,,47121600,
,50 GRIT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230559,100 GRIT,,,PIEZA,TENNANT,,,,,,CONSUMIBLES,,,,47121600,
,100 GRIT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230560,200 GRIT,,,PIEZA,TENNANT,,,,,,CONSUMIBLES,,,,47121600,
,200 GRIT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230561,400 GRIT,,,PIEZA,TENNANT,,,,,,CONSUMIBLES,,,,47121600,
,400 GRIT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230613,"GASKET, ADAPTER, HOSE, NEO",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1230625,"PIN, 0.63D 02.2L, 1/.34H, 2CHAM",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,123065188DUP,ST-49 SEWER NOZZLE 3/8 NPT 4.0 (1F-3B),,,PIEZA,ACCESORIOS,,BOQUILLAS,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230670,"COVER, PEDAL, LIFT",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1230714,"SHAFT, ADJMT",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230946,"FRAME, SQGE, 50CM, MACH [T300]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1230963,"GUIDE, CABLE, PLSTC",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1231001,"TIRE ASSY, FOAM, 4.10/3.5-06 3.5BC/3BOLT",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,12312-Z6L-000,JUNTA TAPA PUNTERIAS GX630,,,PIEZA,MOTORES,,COMBUSTION,,,,REFACCIONES,,,,26101700,
,JUNTA TAPA PUNTERIAS GX630,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1231373,FRAME,,,PIEZA,,,,,,,REFACCIONES,,,,47121900,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1231527,"BRUSH, SWP, 34L, 05DR, PYP, SPL",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,12316,"SCREW, HEX, M5 X 0.80 X 25, SS",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,12317,"SCREW HEX M10 X 1.5 X 30,SS",,,PIEZA,TENNANT,,BARREDORAS,,,,BARREDORAS,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1231915,1231915,,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1231915A,"CABLE, STEERING, BOT",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232011,"TRAY, ACCSSRY, FILL, RH [T600/T600E]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232100,BATTERY KIT [i-mop LEFT & RIGHT],,,PIEZA,TENNANT,,FREGADORAS,,,,CONSUMIBLES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232166,"ELEMENT, FLTR, HEPA, 18 X 17 X 5 [S30]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232325,"BUMPER, HEAD, 70CM, SKIRT, IM",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232326,"BUMPER, HEAD, 80CM, SKIRT, IM",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232385,CAP DRAIN,,,PIEZA,,,,,,,REFACCIONES,,,,47121900,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232547,"CHARGER, BAT",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232578,"BRUSH, MED, BLU, 9.0 [XL QTY 2]",,,PIEZA,TENNANT,,,,,,CONSUMIBLES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232587,"HOSE ASSY, STRETCH",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1232607,"Brush, Hard, Red, 9.0 [Xl Qty 2",,,PIEZA,GIANT PUMP,,P420A,,,,CONSUMIBLES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232627,"BLADE, SQGE, FRONT, 22.4 [XL]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232629,"BLADE, SQGE, REAR, 24.0 [XL LINA]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232661,"CAP KIT, TANK, REC",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1232663,"CAP KIT, TANK, SOL [BLUE]",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1232673,"CASTER ASSY, SQGE",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232674,"FAN, VAC",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232675,"COVER, BRUSH, MOTOR",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232679,"ESCURRIDOR DELANTERO T600, T500",,,PIEZA,TENNANT,,FREGADORAS,Lote/Serie/Pedim,,,CONSUMIBLES,,,,47121900,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232681,"BLADE, SQGE, FRONT, 1256L LINARD[800MM]",,,PIEZA,TENNANT,,,,,,CONSUMIBLES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232701,"DISK, 16.0D, 0025GRIT, CW, MASTIC [DB]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1232702,"DISK, 16.0D, 0025GRIT, CCW, MASTIC [DB]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1233229,"ARM, LOWER [MACHINED]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,12333,"SCREW, HEX, M8 X 1.25 X 25, SS, NL",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1233700,"MOUNT, VACFAN",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1233953,"HOSE ASSY, SQGE",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121900,
,REEMPLAZA A LA PIEZA #1031610,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1233968,"HOSE ASSY, W/2CUFF, 3.0D 018L 3.0/3.0",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1234358,"PLATE, REAR, SQGE [WHEEL SIDE IMOP]",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1234365,"DIAL, RANGE, SPEED",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1234489,"HOSE, FLEX, VACUUM, 04.0D, 050.0L",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,REEMPLAZA AL 40870-8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1234523,"BRUSH ASSY, DISK, SCB, 16.0D, NYL BRU",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1234524,"BRUSH ASSY, DISK, SCB, 16.0D, PYP",,,PIEZA,TENNANT,,,,,,CONSUMIBLES,,,,47121600,
,"Cepillo Poly 16, T600e",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1234534,"HOSE, VACUUM, 3.00ID X 019.0L",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1234625,"CASTER, SWIVEL, 50MMD, M10 X 48, CLR PL",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1234678,"WHEEL, 05.9D 6.89W 1.18B, W/ BRG",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1234972,"SCREW, FLT, SOC, M5 X 18.5 NL [10X,IMOP]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1235274,"SPACER, HEAD",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1235275,"SPACER, FRAME",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
TALLER,,,123558,JGO 3 MACHEULOS AAV 1/420NC 123558,,,PIEZA,CONSUMIBLE,,CONSUMIBL,,,,CONSUMIBLES,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,12358-ZJ1-000,JUNTA RESPIRADERO 20 HP GX-620,,,PIEZA,MOTORES,,COMBUSTION,,,,VARIOS,,,,,
,JUNTA RESPIRADERO 20 HP GX-620,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1235860,"GUIDE, SPRING",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1237091,"VALVE, HYD, SOLENOID, 12GPM [1049210]",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1237826,"WHEEL, DRIVING, W/METAL INSERT[XL & XXL]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1238366,"GUARD, BRUSH, SIDE",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1238858,"CONNECTOR, BATTERY, 4GA, GRAY",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,12391-ZJ1-000,JUNTA TAPA DE PUNTERIAS 18HP GX-610,,,PIEZA,MOTORES,,COMBUSTION,,,,VARIOS,,,,,
,JUNTA TAPA DE PUNTERIAS 18HP GX-610,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,12398,O RING BEARING COVER,,,PIEZA,CATPUMP,,3537,,,,BOMBAS,,,,,
,ORING BEARING COVER BOMBA CAT 3537,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1239902,"HOSE ASSY, DRAIN, 3.0 ID 65 LHOSE ASSY,",,,PIEZA,TENNANT,,,,,,CONSUMIBLES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1241632,"FRAM, SQGE, 70 CMS",,,PIEZA,,,,,,,CONSUMIBLES,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1242462,"SCREW, HEX, M14 X 2.00 X 110, 8.8",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1242544,"HEADLIGHT, LED, RND [S20/S30 IC] | SN: 0",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1242557,"PIN, CLEVIS, .38D X 2.83L, HARDENED",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,12428128,GUARDAMOTOR MPW40-3-U016,,,PIEZA,MOTORES,,ELECTRICO,,,,PARTES,,,,39122200,
,"GUARDAMOTOR MPW40-3-U016 , 10-16 AMP",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1242820,"SLEEVE, .40B .75D .2L [304SS]",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1242853,"CHARGER, 24VDC 13A 100-240VAC [ON BRD]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1243007,"NUT, HEX, FLNG, M6 X 1.00",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1243034,"BOLT, FLANGE, M5-0.8 X 16, 10.9 PL",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1243342,"PAD, POLISH, 13.0D, WHITE [1PICK=1CTN]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1243460,"ARM, LOWER [MACHINED]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,1243462,"MOUNT, SQGE",,,PIEZA,GIANT PUMP,,P420A,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1243538,FRAME SQGE 80CM,,,PIEZA,,,,,,,CONSUMIBLES,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1243587,FITTING,,,PIEZA,,,,,,,REFACCIONES,,,,47121900,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1243718,"BLOCK, GUIDE, SQGE",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1243722,"BLOCK, SQGE, GUIDE, RH",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1243735,"DISC, FRICTION, SQGE",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1244372,"TIRE ASSY, PNEU, BLK, 4.10/3.5-06 3.5BC",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1244374,"TIRE ASSY, FOAM, BLK, 4.10/3.5-06 3.5BC",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1244405,"BATTERY, WET, 36VDC, 750AH",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1244839,"WHEEL ASSY, DRIVE, AC, W/O BRAKE, RED",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1245656,"VACUUM, WET/DRY, 120V [V-WD-24, NA]",,,PIEZA,ASPIRADORA,,,,,,ASPIRADORAS,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,1245691,"BRUSH ASSY, DISK, SCB, 14.0D, NYL",,,PIEZA,TENNANT,,FREGADORAS,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
