HIDROREY INDUSTRIAL,,,,,,,,,,,,,,,,,,,
Fecha:,,15/12/2025,,,,Catálogo de Productos,,,,,,,,,,Página:,,1,
Hora:,,14:23:05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Clase,,,Clave,Nombre,Atributo,,Unidad,Grupo,,Subgrupo,Ma. Lo.,D. Vi.,,Tipo de Producto,,,,,Clave SAT
,,,,,,,,,,,,,,,,,,,
OBS,,,*990252,MANGUERA AP 1/4 NEPTUNE 1 TRAMA 300,,,PIEZA,,,,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,.,.,,,H87,,,,,,,RESTREGADORA,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-3987-5,ASPIRADORA MAID 380 EXP 23LTS 1.25 HP,,,PIEZA,ASPIRADORA,,MASISA,,,,ASPIRADORAS,,,,,
,ASPIRADORA MAID 380 EXP 23LTS 1.25 HP,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-3991-7,ASPIRADORA CLASSIC100 MASISA,,,PIEZA,ASPIRADORA,,ASPREF,,,,ASPIRADORAS,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-4445-3,PULIDORA TP-2015,,,PIEZA,PULIDORAS,,MASISA,,,,VARIOS,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-4662-3,ASPIRADORA MAID 215,,,PIEZA,ASPIRADORA,,MASISA,,,,ASPIRADORAS,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-4663-1,ASPIRADORA MAID 420,,,PIEZA,ASPIRADORA,,MASISA,,,,ASPIRADORAS,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70022,T-Box wrench 14mm,,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70198,Fire Brick P176,,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70309,Fuse 5x20 6A,,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70441,"One-Touch Nipple PUL8, elbow",,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70445,One-Touch Nipple PL8 - 1/4“ to 8mm tubi,,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70446,One-Touch Nipple PL8 - 3/8” to 8mm tubin,,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,"One-Touch Nipple PL8 - 3/8” to 8mm tubing, elbow",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70544,"Fuel Tank Cap, DMF (Red)",,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70560,JOINT,,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70654,"Blower Hose, DMF 6/2014 and older",,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70794,"Elbow nipple PT1/4M - PF3/8M, brass",,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70858,"Thermo Holder 8x5x55 PT3/8M, L=65",,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,"Thermo Holder 8x5x55 PT3/8M, L=65",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70915,Cable tie L=45,,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70920,Non-Slip Tape 20-320mm,,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-70935,Label switch box DM,,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-71391,ROUND BRUSH POLYESTER 60MM,,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-71392,ROUND BRUSH POLYESTER 30MM,,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00-71663,Electrodes + Fuel Nozzle Assembly,,,PIEZA,VAPOR,,VAPOR SECO,,,,EQ. VAPOR,,,,47121903,
,,,,,,,,,,,,,,,,,,,
HERR-3,,,0006845,"MAGUERA P/AIRE ALTA PRESION 3/8"" X 15 M",,,PIEZA,,,,,,,HERRAMIENTAS,,,,40142002,
,"MAGUERA P/AIRE ALTA PRESION 3/8"" X 15 M",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ADMON,,,001,MEDIACION COMERCIAL,,,E48,,,,,,Ser.,VARIOS,,,,80141706,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,0010,PISTOLA DE LAVADO BACHOCO,,,JUEGO,ACCESORIOS,,GATILLOS,,,Kit,BOQUILLAS ALTA,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,001171,ESPIGA BRONCE 1/2 X 1/2,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,001175,ESPIGA BRONCE 3/8 X 3/8,,,PIEZA,ACCESORIOS,,CONEXIONES,Lote/Serie/Pedim,,,BOQUILLAS ALTA,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,001286,FILTRO Y STRAINER 1/2 BRONCE,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,001442,TERMOSTATO EN LINEA 230 GRD FARENHEIT,,,PIEZA,CALDERA,,REPUESTOSC,Lote/Serie/Pedim,,,BOQUILLAS ALTA,,,,41112209,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,001523,SOLENOIDE SUNTEC 12V DC/2AV AC COIL,,,PIEZA,CALDERA,,REPUESTOSC,Lote/Serie/Pedim,,,BOQUILLAS ALTA,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,001524,SOLENOIDE SUNTEC 3713824 115V  COIL,,,PIEZA,CALDERA,,REPUESTOSC,Lote/Serie/Pedim,,,BOQUILLAS ALTA,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,001525,SOLENOIDE SUNTEC 3713825 220V  COIL,,,PIEZA,CALDERA,,REPUESTOSC,Lote/Serie/Pedim,,,BOQUILLAS ALTA,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,001622,PISTON CERAMICO 20MM GP 47040409,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,001813,BOQUILLA QC 1/4 15° AMARILLA #4.5,,,PIEZA,,,,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,001890,BOQUILLA  25 - 10 STD BRONCE P/INYECCION,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,965400m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,0019006600,RETEN PISTON FWS 20X30X5A-139 (JGO 3PZAS,,,JUEGO,COMET PUMP,,FWS3530,,,,REPUESTOS,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,0019012600,RETEN PISTON RWS 20X28X5F-144,,,JUEGO,COMET PUMP,,RWS4030,,,,REPUESTOS,,,,,
,,,,,,,,,,,,,,,,,,,
ADMON,,,002,ENSAMBLAJE DE MANGUERA,,,E48,,,,,,Ser.,,,,,40141764,
,SERVICIOS TECNICOS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,002081,RED BUSHING 3/8 A 1/4 BRONCE LP,,,PIEZA,,,,,,,X_OBSOLETOS,,,,,
,RED BUSHING 3/8 A 1/4 BRONCE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,002122,ESPIGA BRONCE 3/8 X 1/2,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00218OS1P56CN,MOTOR 2HP 1750RPM 127 V 1F 56C,,,PIEZA,MOTORES,,ELECTRICO,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,002210,INYECTOR QUIMICOS PA VARIABLE 2.1 MM,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,100812,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,002373,BOQULLLA SEWER  ROTATIVA 1/4 FTP #5.5,,,PIEZA,,,,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
